model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 1 Series,2018.0,Manual,12800.0,Diesel,145.0,50.4,,17975
 3 Series,2017.0,Semi-Auto,14404.0,Diesel,145.0,,2.0,16995
 5 Series,2019.0,Semi-Auto,5137.0,,145.0,51.4,3.0,35950
 3 Series,2016.0,Automatic,,Hybrid,0.0,134.5,2.0,17980
 3 Series,2017.0,Automatic,17059.0,Hybrid,135.0,134.5,,21150
 3 Series,2010.0,Manual,93261.0,Diesel,125.0,,2.0,6295
 3 Series,2020.0,Semi-Auto,6000.0,Diesel,145.0,49.6,2.0,32890
 3 Series,2019.0,Semi-Auto,9354.0,Petrol,145.0,45.6,2.0,25780
 Z4,2014.0,Manual,36000.0,Petrol,200.0,41.5,,11990
 3 Series,2015.0,Automatic,40528.0,,30.0,,2.0,14250
 3 Series,2019.0,Semi-Auto,27000.0,,150.0,,2.0,21590
 X1,2014.0,Automatic,,Diesel,160.0,52.3,2.0,11499
 5 Series,2019.0,Semi-Auto,2435.0,,135.0,156.9,2.0,30991
 3 Series,2016.0,Automatic,40000.0,Diesel,160.0,,3.0,17990
 2 Series,2018.0,Manual,,Diesel,,60.1,2.0,19600
 X1,2019.0,Manual,2425.0,Petrol,145.0,51.4,1.5,24480
 1 Series,2020.0,Manual,1104.0,Diesel,145.0,53.3,2.0,23590
 2 Series,2018.0,Semi-Auto,4172.0,Petrol,145.0,47.9,2.0,20380
 1 Series,2016.0,Semi-Auto,34700.0,Diesel,20.0,,2.0,14995
 5 Series,2020.0,Semi-Auto,5.0,Hybrid,145.0,62.8,2.0,32850
 1 Series,2015.0,Semi-Auto,22886.0,Diesel,125.0,61.4,2.0,16495
 4 Series,2014.0,Manual,68000.0,Diesel,125.0,58.9,2.0,12199
 2 Series,2020.0,Semi-Auto,3000.0,Petrol,145.0,47.9,2.0,26989
 3 Series,2029.0,Semi-Auto,23000.0,Petrol,150.0,44.8,2.0,21590
 3 Series,2019.0,Automatic,6129.0,Diesel,145.0,50.4,2.0,28980
 X6,2016.0,Semi-Auto,,Diesel,205.0,47.1,3.0,29480
 3 Series,2015.0,Manual,17620.0,Petrol,265.0,36.7,,20990
 1 Series,2017.0,Manual,40014.0,Diesel,20.0,70.6,1.5,13888
 X4,2020.0,Semi-Auto,11.0,Diesel,145.0,37.2,3.0,44995
 2 Series,2019.0,Manual,101.0,Petrol,145.0,42.2,1.5,20450
 2 Series,2018.0,Semi-Auto,19598.0,Petrol,145.0,39.8,3.0,23110
 5 Series,2016.0,Automatic,35487.0,Diesel,30.0,,2.0,15499
 X1,2020.0,Semi-Auto,,Diesel,145.0,47.9,2.0,29991
 3 Series,2019.0,Semi-Auto,9368.0,Diesel,150.0,52.3,2.0,25450
 X2,2019.0,Automatic,123.0,Petrol,145.0,38.7,2.0,26972
 2 Series,2014.0,Manual,43960.0,Diesel,30.0,62.8,2.0,11647
 3 Series,2016.0,Manual,68052.0,Diesel,20.0,,2.0,11000
 X2,2019.0,Automatic,123.0,Diesel,,48.7,2.0,29770
 2 Series,2019.0,Semi-Auto,7891.0,Diesel,145.0,65.7,2.0,19990
 1 Series,2016.0,Manual,44028.0,,,72.4,,10100
 3 Series,2018.0,Semi-Auto,20606.0,Petrol,,,2.0,24280
 X1,2017.0,Manual,20925.0,Diesel,,68.9,2.0,14000
 X5,,Automatic,116130.0,Diesel,200.0,47.9,3.0,17500
 1 Series,2017.0,Automatic,24693.0,Petrol,145.0,54.3,1.5,15595
 5 Series,2015.0,Semi-Auto,52281.0,,30.0,62.8,2.0,14000
 X1,2017.0,Semi-Auto,,Diesel,150.0,57.6,2.0,17980
 2 Series,2016.0,Semi-Auto,23604.0,Petrol,30.0,55.4,1.5,16495
 1 Series,2006.0,Manual,88000.0,Petrol,260.0,,1.6,2990
 3 Series,2017.0,Automatic,35134.0,Diesel,145.0,64.2,2.0,16000
 X1,2020.0,Semi-Auto,,Diesel,145.0,60.1,2.0,25980
 X6,2019.0,Automatic,3000.0,Petrol,145.0,,3.0,64690
 4 Series,2018.0,Semi-Auto,,,145.0,48.7,2.0,21980
 1 Series,2014.0,Automatic,48343.0,,125.0,60.1,2.0,13083
 1 Series,2019.0,Automatic,,Diesel,145.0,51.4,2.0,28000
 1 Series,2012.0,Manual,73853.0,Diesel,,,2.0,5495
 5 Series,2015.0,Manual,73227.0,Diesel,125.0,61.4,,10400
 3 Series,2017.0,Automatic,34437.0,Diesel,145.0,,3.0,17400
 6 Series,2016.0,Semi-Auto,,Petrol,260.0,36.7,3.0,22798
 3 Series,2017.0,Automatic,69000.0,Diesel,160.0,51.4,3.0,19250
 4 Series,2019.0,Automatic,6500.0,Diesel,,65.7,2.0,26444
 3 Series,,Manual,53000.0,Diesel,30.0,64.2,2.0,12990
 3 Series,2016.0,Semi-Auto,29125.0,Diesel,150.0,,,19495
 X5,2019.0,Automatic,123.0,Diesel,,36.7,3.0,48090
 X1,2017.0,Automatic,28161.0,Diesel,125.0,57.6,2.0,18100
 3 Series,2013.0,Manual,,Diesel,30.0,61.4,2.0,10998
 3 Series,2012.0,Manual,,Diesel,145.0,55.4,2.0,8990
 X1,2018.0,Automatic,11070.0,Petrol,,44.8,2.0,22600
 2 Series,2020.0,Semi-Auto,9.0,Petrol,150.0,50.4,1.5,20980
 X3,2019.0,Automatic,4250.0,Petrol,145.0,30.4,2.0,32850
 3 Series,2016.0,Automatic,22186.0,Petrol,200.0,43.5,2.0,18080
 X1,2012.0,Automatic,47152.0,,200.0,45.6,2.0,9199
 1 Series,2016.0,Automatic,31715.0,,20.0,,2.0,13800
 4 Series,2016.0,Semi-Auto,,Petrol,,48.7,2.0,17995
 4 Series,2019.0,Semi-Auto,19856.0,Diesel,145.0,65.7,,21998
 X3,2019.0,Semi-Auto,5492.0,Diesel,,54.3,2.0,34950
 3 Series,2019.0,Semi-Auto,11010.0,Diesel,145.0,54.3,2.0,23222
 X3,2015.0,Semi-Auto,41567.0,Diesel,145.0,54.3,2.0,19500
 1 Series,2018.0,Semi-Auto,10812.0,Petrol,150.0,,3.0,23980
 X2,2019.0,Automatic,123.0,Diesel,145.0,50.4,,29374
 2 Series,2019.0,Manual,1000.0,Petrol,145.0,,1.5,20980
 1 Series,2019.0,Manual,10.0,Diesel,145.0,53.3,2.0,24990
 1 Series,2014.0,Semi-Auto,23000.0,Petrol,125.0,50.4,1.6,11995
 X1,2017.0,Semi-Auto,21346.0,,,55.4,2.0,19498
 1 Series,2019.0,Automatic,5553.0,Petrol,,55.5,1.5,15989
 M4,2020.0,Semi-Auto,700.0,Petrol,145.0,,3.0,50000
 X5,2015.0,Automatic,,Diesel,205.0,47.1,3.0,28950
 4 Series,,Semi-Auto,112.0,Petrol,145.0,45.6,2.0,24940
 3 Series,2016.0,Manual,47274.0,Petrol,200.0,41.5,2.0,13998
 3 Series,2019.0,Semi-Auto,21165.0,Diesel,145.0,48.7,2.0,26498
 3 Series,2019.0,Automatic,,Diesel,,47.9,3.0,33890
 5 Series,2018.0,Semi-Auto,15032.0,Diesel,145.0,68.9,2.0,24498
 1 Series,2019.0,Manual,1834.0,Diesel,145.0,56.5,2.0,21990
 X6,2018.0,Automatic,,Diesel,,40.9,3.0,34990
 3 Series,2017.0,Automatic,34298.0,Diesel,30.0,,2.0,15500
 1 Series,2016.0,Manual,47325.0,Diesel,0.0,83.1,1.5,9899
 3 Series,2019.0,Automatic,5211.0,Diesel,145.0,52.3,2.0,29890
 7 Series,2017.0,Automatic,,Diesel,145.0,54.3,3.0,29995
 2 Series,2019.0,Semi-Auto,8640.0,,,,2.0,21995
 3 Series,2013.0,Semi-Auto,46500.0,Diesel,,55.4,3.0,15500
 5 Series,2014.0,Semi-Auto,59317.0,Diesel,30.0,62.8,2.0,14662
 1 Series,2014.0,Manual,63169.0,,30.0,64.2,2.0,9999
 2 Series,2019.0,Manual,103.0,Petrol,145.0,,1.5,22991
 3 Series,2020.0,Semi-Auto,102.0,Diesel,,50.4,2.0,42430
 2 Series,2019.0,Automatic,477.0,Petrol,145.0,47.9,2.0,24000
 1 Series,2016.0,Manual,39077.0,,,65.7,2.0,13299
 3 Series,2018.0,Automatic,32663.0,Diesel,,64.2,2.0,17400
 2 Series,2019.0,,2318.0,Petrol,145.0,47.9,2.0,23998
 5 Series,2014.0,Semi-Auto,60681.0,Diesel,125.0,,2.0,11998
 1 Series,2013.0,Semi-Auto,43818.0,,150.0,48.7,1.6,10995
 1 Series,2018.0,Manual,5953.0,,150.0,53.3,1.5,15498
 2 Series,2019.0,Semi-Auto,,Petrol,150.0,38.2,3.0,29995
 1 Series,2019.0,Semi-Auto,5354.0,Diesel,145.0,48.7,2.0,33500
 X3,2016.0,Automatic,70232.0,Diesel,200.0,47.9,3.0,16900
 3 Series,2019.0,Semi-Auto,4100.0,Petrol,145.0,42.2,2.0,28990
 3 Series,2019.0,,9545.0,Diesel,145.0,52.3,,27710
 X5,2019.0,Semi-Auto,6439.0,Diesel,145.0,37.7,3.0,48990
 1 Series,2019.0,Semi-Auto,13171.0,Diesel,150.0,,2.0,19895
 1 Series,2019.0,Manual,,Diesel,145.0,53.3,2.0,27730
 3 Series,2019.0,Semi-Auto,5039.0,Diesel,150.0,52.3,2.0,33950
 X6,2019.0,Semi-Auto,,Diesel,,34.9,3.0,52990
 1 Series,2016.0,Manual,25073.0,Diesel,0.0,83.1,,11110
 5 Series,2019.0,Semi-Auto,16128.0,Diesel,,60.1,,26798
 3 Series,2017.0,Manual,59158.0,Diesel,,67.3,2.0,12440
 1 Series,2017.0,Automatic,35835.0,,150.0,70.6,2.0,13450
 3 Series,2016.0,Automatic,49620.0,,20.0,74.3,2.0,12878
 5 Series,2016.0,Automatic,35474.0,Diesel,125.0,60.1,2.0,15600
 2 Series,2017.0,Semi-Auto,,Petrol,150.0,55.4,1.5,14000
 X3,2016.0,Automatic,65392.0,Diesel,200.0,,3.0,18675
 X1,2017.0,Automatic,60792.0,Diesel,145.0,55.4,2.0,16514
 4 Series,2016.0,Semi-Auto,24188.0,Diesel,145.0,55.4,3.0,18498
 4 Series,2016.0,Semi-Auto,19344.0,Petrol,235.0,39.2,3.0,26442
 5 Series,2019.0,Semi-Auto,10656.0,Diesel,150.0,65.7,2.0,26490
 5 Series,2003.0,Automatic,37000.0,Petrol,325.0,26.4,3.0,14950
 1 Series,2019.0,Manual,,Diesel,145.0,57.7,1.5,24500
 1 Series,2017.0,Semi-Auto,,Petrol,,39.8,,20975
 5 Series,2019.0,Automatic,,Diesel,145.0,,2.0,30000
 3 Series,2018.0,Semi-Auto,5243.0,Diesel,145.0,56.5,3.0,24991
 M4,2019.0,Semi-Auto,24.0,,145.0,34.0,,45475
 1 Series,2014.0,Automatic,53436.0,Diesel,30.0,64.2,2.0,10670
 3 Series,2013.0,Manual,96308.0,Diesel,125.0,60.1,2.0,8950
 1 Series,2014.0,Manual,53872.0,Diesel,,65.7,2.0,9460
 2 Series,2015.0,Manual,76000.0,Diesel,30.0,64.2,2.0,11490
 X5,2016.0,Automatic,62756.0,Diesel,,47.1,3.0,25991
 4 Series,2018.0,Automatic,1300.0,Petrol,145.0,,2.0,22950
 1 Series,2012.0,Manual,,Diesel,125.0,58.9,2.0,6500
 4 Series,2019.0,Semi-Auto,4068.0,Diesel,,65.7,,26922
 X5,2017.0,Automatic,,Diesel,150.0,47.1,3.0,29975
 1 Series,2019.0,Automatic,7488.0,,145.0,61.4,2.0,24488
 5 Series,2019.0,Semi-Auto,9062.0,Diesel,145.0,65.7,2.0,26350
 X1,2016.0,Manual,26436.0,Diesel,20.0,68.9,2.0,14999
 Z4,2020.0,Semi-Auto,10.0,Petrol,150.0,38.7,2.0,31895
 3 Series,2016.0,Manual,97758.0,Diesel,20.0,,2.0,9449
 X1,2019.0,Semi-Auto,,Petrol,145.0,35.3,2.0,26690
 X2,2019.0,Manual,7189.0,Diesel,,,2.0,21992
 1 Series,2017.0,Manual,13472.0,Diesel,,,2.0,14995
 5 Series,,Semi-Auto,,Diesel,145.0,60.1,3.0,23898
 2 Series,2016.0,Automatic,59634.0,Diesel,,55.4,2.0,14995
 3 Series,2016.0,Manual,,,,,2.0,13849
 Z3,1998.0,Manual,,,270.0,35.3,1.9,3950
 X2,2037.0,Manual,4174.0,Diesel,145.0,,2.0,24998
 1 Series,2017.0,Manual,25656.0,Diesel,150.0,72.4,1.5,12995
 1 Series,2013.0,Manual,49479.0,Petrol,125.0,51.4,,7991
 4 Series,2020.0,Semi-Auto,,Diesel,150.0,65.7,2.0,33999
 1 Series,2019.0,Semi-Auto,575.0,Diesel,,62.8,2.0,25999
 X1,2016.0,Semi-Auto,15605.0,Diesel,125.0,60.1,2.0,19000
 3 Series,2020.0,Automatic,4300.0,,145.0,33.6,3.0,41995
 3 Series,2017.0,Automatic,20771.0,Diesel,145.0,64.2,,16550
 3 Series,2010.0,Manual,119000.0,Petrol,160.0,,,4995
 3 Series,2017.0,Automatic,,Petrol,145.0,48.7,,19082
 1 Series,2017.0,,14646.0,Diesel,30.0,65.7,2.0,13995
 4 Series,2017.0,Automatic,30145.0,Diesel,145.0,58.9,2.0,18950
 3 Series,2017.0,Manual,51299.0,Petrol,125.0,52.3,1.5,11498
 3 Series,2017.0,Automatic,24122.0,,,51.4,3.0,24488
 1 Series,2016.0,Manual,,Petrol,125.0,52.3,1.5,13580
 1 Series,2019.0,Manual,7103.0,Diesel,,70.6,1.5,17980
 5 Series,2020.0,Semi-Auto,,Petrol,145.0,50.4,2.0,26990
 4 Series,2016.0,Semi-Auto,12531.0,Petrol,145.0,,2.0,20681
 4 Series,2019.0,Semi-Auto,5623.0,Diesel,145.0,65.7,2.0,22500
 5 Series,2019.0,Semi-Auto,1500.0,Petrol,145.0,50.4,2.0,29480
 3 Series,2015.0,Semi-Auto,35365.0,Diesel,145.0,57.6,2.0,16799
 4 Series,2016.0,Automatic,20685.0,Diesel,30.0,65.7,2.0,17495
 X1,2016.0,Semi-Auto,20153.0,Diesel,145.0,55.4,2.0,19498
 i8,2015.0,Automatic,43102.0,Hybrid,0.0,134.5,1.5,42890
 2 Series,2019.0,Manual,1501.0,Petrol,,42.8,1.5,19500
 3 Series,2018.0,Semi-Auto,14344.0,Diesel,145.0,64.2,2.0,22162
 1 Series,2019.0,Manual,10069.0,Diesel,145.0,,1.5,15990
 2 Series,2016.0,Semi-Auto,27589.0,Diesel,30.0,62.8,2.0,16990
 1 Series,2017.0,Semi-Auto,,Petrol,145.0,39.8,3.0,20995
 X4,2016.0,Semi-Auto,64000.0,Diesel,145.0,54.3,2.0,20022
 X5,2019.0,Semi-Auto,,Diesel,,37.7,,44736
 2 Series,2020.0,Semi-Auto,,Diesel,145.0,,2.0,23450
 4 Series,2014.0,Automatic,65000.0,Diesel,125.0,60.1,2.0,12975
 1 Series,2018.0,,24205.0,Petrol,145.0,39.8,,20999
 3 Series,2019.0,Semi-Auto,3932.0,Diesel,145.0,62.8,2.0,25000
 4 Series,2019.0,,123.0,,145.0,48.7,2.0,28088
 X3,2019.0,Automatic,8998.0,Diesel,145.0,54.3,2.0,31986
 3 Series,2017.0,Semi-Auto,25632.0,Diesel,145.0,,3.0,27490
 3 Series,2019.0,Automatic,11505.0,Petrol,145.0,51.4,1.5,19850
 X1,,Manual,72565.0,Diesel,,57.6,2.0,8750
 1 Series,2019.0,Manual,5450.0,Diesel,145.0,72.4,1.5,16500
 3 Series,2019.0,Semi-Auto,7821.0,Diesel,145.0,,,25940
 5 Series,2018.0,Automatic,24460.0,Diesel,145.0,60.1,3.0,27750
 M4,2019.0,Semi-Auto,1501.0,Petrol,145.0,32.5,3.0,46000
 3 Series,,Automatic,120000.0,Petrol,305.0,34.0,3.0,5999
 M5,,Semi-Auto,,Petrol,565.0,,,30181
 4 Series,2019.0,Automatic,3999.0,Petrol,145.0,41.5,3.0,34995
 1 Series,2019.0,Automatic,5000.0,Petrol,145.0,34.5,2.0,30488
 X5,2015.0,,60749.0,Diesel,205.0,,3.0,23990
 X5,2015.0,Automatic,36174.0,Diesel,205.0,47.1,3.0,28000
 4 Series,2017.0,Semi-Auto,18278.0,Diesel,150.0,60.1,2.0,20892
 3 Series,2016.0,Manual,15539.0,Diesel,30.0,67.3,2.0,13800
 2 Series,2016.0,Automatic,,,145.0,,2.0,18990
 1 Series,2014.0,Semi-Auto,20402.0,Diesel,30.0,64.2,2.0,13990
 4 Series,2017.0,Automatic,,Diesel,145.0,55.4,3.0,21699
 4 Series,2014.0,Automatic,62768.0,Petrol,,38.2,3.0,16100
 X2,2019.0,Semi-Auto,4264.0,,145.0,39.2,2.0,27982
 3 Series,2019.0,Semi-Auto,2212.0,Diesel,150.0,48.7,2.0,28440
 3 Series,2019.0,Automatic,123.0,Petrol,145.0,42.2,2.0,33840
 1 Series,2012.0,Automatic,75000.0,Diesel,30.0,62.8,2.0,7490
 1 Series,2019.0,Semi-Auto,,Diesel,145.0,68.9,1.5,19995
 5 Series,2015.0,Semi-Auto,29116.0,Diesel,,62.8,2.0,17002
 2 Series,2020.0,Semi-Auto,10.0,Diesel,150.0,47.1,2.0,26490
 3 Series,2017.0,Semi-Auto,28563.0,Diesel,150.0,64.2,2.0,18999
 5 Series,2015.0,Automatic,60337.0,Diesel,,62.8,2.0,12900
 3 Series,2017.0,Semi-Auto,43703.0,Diesel,160.0,51.4,3.0,21472
 4 Series,,Semi-Auto,5732.0,Diesel,145.0,60.1,2.0,29920
 1 Series,,Manual,397.0,Petrol,145.0,44.1,1.5,22222
 2 Series,2019.0,Manual,50.0,Petrol,145.0,52.3,1.5,21000
 6 Series,2019.0,Semi-Auto,4028.0,Diesel,145.0,42.2,2.0,41980
 X2,2019.0,Manual,6764.0,Diesel,150.0,48.7,2.0,24990
 2 Series,2020.0,Semi-Auto,914.0,Petrol,145.0,42.2,1.5,30000
 2 Series,2017.0,Manual,10511.0,Diesel,,68.9,2.0,14600
 X5,2012.0,Automatic,37000.0,Diesel,300.0,37.7,3.0,19500
 1 Series,,Semi-Auto,37634.0,Diesel,30.0,64.2,2.0,12298
 1 Series,2020.0,Semi-Auto,6000.0,Diesel,145.0,,2.0,27495
 2 Series,2020.0,Semi-Auto,5000.0,Diesel,145.0,48.7,2.0,29999
 3 Series,2016.0,Automatic,53867.0,Hybrid,0.0,134.5,2.0,16500
 2 Series,2017.0,Automatic,12941.0,Hybrid,0.0,141.2,1.5,18490
 X3,,Automatic,4466.0,Diesel,,54.3,2.0,35750
 4 Series,2019.0,Automatic,5891.0,Diesel,,65.7,2.0,27999
 X5,2016.0,Automatic,12525.0,Diesel,200.0,47.1,3.0,32998
 3 Series,,Semi-Auto,18564.0,Diesel,,60.1,2.0,21300
 1 Series,2013.0,Manual,68000.0,Petrol,125.0,,1.6,6990
 1 Series,2015.0,Manual,,Diesel,,72.4,1.5,12100
 X5,2019.0,Semi-Auto,2062.0,Diesel,150.0,37.7,3.0,46980
 3 Series,2013.0,Manual,86000.0,Diesel,125.0,57.6,2.0,7999
 X4,2019.0,Semi-Auto,12855.0,Diesel,145.0,40.4,,36900
 4 Series,2016.0,Automatic,83359.0,Diesel,30.0,,2.0,13300
 5 Series,2019.0,Automatic,3718.0,Diesel,145.0,62.8,2.0,30980
 X6,2015.0,Semi-Auto,51447.0,Diesel,,47.1,3.0,26980
 2 Series,2018.0,Manual,17123.0,Petrol,150.0,,,16500
 3 Series,2017.0,Manual,45616.0,Diesel,20.0,68.9,2.0,11900
 6 Series,2019.0,Semi-Auto,7994.0,Petrol,145.0,42.8,2.0,31999
 3 Series,,Automatic,,Petrol,,,3.0,42995
 1 Series,2016.0,Manual,18824.0,Diesel,20.0,70.6,2.0,12995
 2 Series,2017.0,Semi-Auto,34247.0,Diesel,30.0,,2.0,17484
 1 Series,,Automatic,,Diesel,145.0,72.4,1.5,14275
 3 Series,2016.0,Manual,90161.0,Diesel,30.0,67.3,2.0,10000
 2 Series,2020.0,Automatic,2980.0,Petrol,,40.9,1.5,25000
 2 Series,2019.0,Automatic,5000.0,Diesel,145.0,48.7,2.0,25950
 2 Series,2018.0,Semi-Auto,3960.0,Petrol,145.0,32.5,3.0,25990
 3 Series,2016.0,Semi-Auto,34860.0,Petrol,125.0,54.3,,13798
 5 Series,2019.0,Semi-Auto,4917.0,Diesel,145.0,65.7,2.0,26898
 6 Series,2016.0,Automatic,27483.0,Diesel,200.0,49.6,3.0,21795
 1 Series,2019.0,Manual,12266.0,Diesel,,65.7,2.0,17797
 4 Series,2019.0,Semi-Auto,6123.0,Diesel,150.0,,3.0,30898
 5 Series,2016.0,Automatic,14005.0,Diesel,,62.8,2.0,17199
 X1,2019.0,Semi-Auto,3737.0,Petrol,150.0,48.7,,26480
 4 Series,2019.0,Manual,8129.0,Petrol,145.0,46.3,,24888
 1 Series,2019.0,Semi-Auto,5166.0,Petrol,150.0,40.4,1.5,22980
 X1,2020.0,Semi-Auto,1600.0,Petrol,145.0,37.7,1.5,28995
 3 Series,2015.0,Semi-Auto,18283.0,Diesel,160.0,51.4,3.0,21242
 X2,2019.0,Manual,103.0,Diesel,145.0,53.3,2.0,26790
 X1,2017.0,Manual,,Diesel,125.0,,2.0,18200
 X3,2016.0,Semi-Auto,25574.0,Diesel,145.0,54.3,2.0,20998
 X5,2019.0,Semi-Auto,5925.0,Diesel,145.0,37.7,3.0,50990
 1 Series,2019.0,Manual,3148.0,Petrol,,41.5,1.5,23995
 4 Series,2019.0,Semi-Auto,,Diesel,145.0,60.1,2.0,29000
 4 Series,2017.0,Automatic,46913.0,Diesel,145.0,65.7,2.0,16600
 1 Series,2016.0,Semi-Auto,37398.0,Diesel,20.0,67.3,2.0,13850
 3 Series,,Semi-Auto,26309.0,Diesel,145.0,51.4,3.0,22110
 X7,2019.0,Semi-Auto,17561.0,Petrol,145.0,24.8,3.0,67989
 i3,2017.0,Automatic,24041.0,Hybrid,0.0,470.8,0.0,21495
 X1,2017.0,Semi-Auto,32300.0,Diesel,150.0,57.6,2.0,18995
 3 Series,,Semi-Auto,6219.0,Petrol,150.0,42.2,,25490
 X3,2019.0,Semi-Auto,18720.0,Petrol,145.0,30.4,2.0,31000
 3 Series,2013.0,Semi-Auto,21940.0,,125.0,58.9,,15000
 4 Series,2019.0,Semi-Auto,8592.0,Diesel,145.0,65.7,2.0,25000
 1 Series,2019.0,Manual,3400.0,Petrol,145.0,52.3,1.5,17695
 X1,2020.0,Semi-Auto,562.0,Diesel,145.0,60.1,2.0,35040
 X1,2013.0,Manual,,Diesel,,51.4,2.0,8750
 1 Series,2017.0,Semi-Auto,42657.0,Petrol,200.0,39.8,3.0,19000
 X3,2017.0,Automatic,,Diesel,,54.3,2.0,19800
 4 Series,2019.0,Automatic,4734.0,Petrol,145.0,48.7,2.0,27162
 X1,2016.0,Manual,20516.0,Diesel,,58.9,2.0,17490
 1 Series,2019.0,Semi-Auto,12.0,Petrol,145.0,39.8,3.0,29790
 X3,2014.0,Automatic,77129.0,Diesel,145.0,54.3,2.0,15159
 1 Series,2017.0,Manual,19108.0,,145.0,56.5,1.5,11999
 3 Series,2020.0,Semi-Auto,1798.0,Diesel,145.0,52.3,2.0,32000
 4 Series,2016.0,Automatic,46000.0,Diesel,30.0,65.7,2.0,16107
 2 Series,2019.0,Manual,6521.0,Diesel,,60.1,2.0,22480
 5 Series,2018.0,Semi-Auto,24866.0,Diesel,145.0,,2.0,23980
 1 Series,2017.0,Automatic,22595.0,Petrol,200.0,39.8,3.0,19295
 1 Series,2017.0,Manual,72120.0,Diesel,,72.4,1.5,9500
 3 Series,2015.0,Semi-Auto,23503.0,Diesel,160.0,51.4,,19641
 X3,2020.0,Semi-Auto,2500.0,Diesel,145.0,54.3,,34950
 4 Series,2015.0,Semi-Auto,40500.0,Diesel,150.0,55.4,3.0,17465
 5 Series,2019.0,Semi-Auto,4405.0,,145.0,48.7,2.0,26000
 X1,2019.0,Semi-Auto,6744.0,Petrol,,39.2,2.0,26980
 3 Series,2017.0,Automatic,5000.0,Diesel,150.0,51.4,3.0,24950
 3 Series,2019.0,Semi-Auto,3049.0,Diesel,,62.8,2.0,24730
 2 Series,2020.0,Semi-Auto,11.0,Petrol,,50.4,1.5,21890
 1 Series,2019.0,Manual,13461.0,,145.0,72.4,1.5,16440
 1 Series,2016.0,Manual,32268.0,Petrol,125.0,52.3,1.5,12200
 3 Series,2016.0,Manual,,Diesel,30.0,64.2,2.0,9790
 X1,2016.0,Semi-Auto,20800.0,Petrol,160.0,44.8,2.0,20295
 X1,2016.0,Automatic,22780.0,Petrol,,44.8,2.0,18899
 4 Series,2017.0,Semi-Auto,,Petrol,150.0,45.6,2.0,20450
 1 Series,2012.0,Automatic,,Diesel,165.0,51.4,2.0,8990
 5 Series,2019.0,Semi-Auto,5877.0,Diesel,,,2.0,39999
 2 Series,2019.0,Manual,123.0,Petrol,,52.3,1.5,22646
 3 Series,2019.0,Semi-Auto,,Petrol,145.0,40.9,2.0,31450
 1 Series,2013.0,Manual,56361.0,Diesel,30.0,62.8,2.0,8995
 3 Series,,Semi-Auto,7983.0,Diesel,,48.7,2.0,29440
 4 Series,2017.0,Automatic,,Diesel,145.0,65.7,2.0,17499
 2 Series,2017.0,Semi-Auto,15336.0,Petrol,125.0,48.7,2.0,17495
 3 Series,2012.0,Automatic,53333.0,Diesel,,68.9,2.0,8995
 3 Series,2013.0,Semi-Auto,40900.0,Diesel,145.0,54.3,3.0,16291
 X1,2019.0,Manual,99.0,Petrol,145.0,,1.5,25999
 X1,2019.0,Semi-Auto,2701.0,Petrol,,39.8,2.0,29995
 X6,2015.0,Semi-Auto,,Diesel,205.0,45.6,3.0,25000
 X2,2019.0,Automatic,4804.0,Petrol,145.0,34.0,2.0,31980
 X2,2018.0,,24136.0,Petrol,145.0,,2.0,22995
 3 Series,2016.0,Manual,52224.0,Diesel,,62.8,2.0,12999
 X3,2019.0,Semi-Auto,,Diesel,150.0,54.3,2.0,32980
 X2,2019.0,Semi-Auto,10.0,Petrol,145.0,38.7,2.0,26490
 1 Series,2019.0,Manual,4619.0,Petrol,150.0,44.1,1.5,20750
 3 Series,2015.0,Manual,92468.0,Diesel,,68.9,,8799
 Z4,2019.0,Semi-Auto,5340.0,Petrol,145.0,38.2,2.0,28450
 2 Series,2019.0,Automatic,10000.0,Petrol,145.0,47.9,2.0,21491
 X2,2019.0,Semi-Auto,,Petrol,145.0,,2.0,33250
 3 Series,2017.0,Automatic,19345.0,Diesel,150.0,,,19000
 X6,2016.0,Semi-Auto,26782.0,Diesel,200.0,44.8,3.0,30998
 1 Series,2019.0,Semi-Auto,,Diesel,145.0,74.3,2.0,17980
 4 Series,2018.0,Semi-Auto,17000.0,,150.0,,2.0,20590
 3 Series,,Semi-Auto,3392.0,Petrol,145.0,41.5,2.0,30326
 4 Series,2015.0,Manual,99340.0,Diesel,30.0,62.8,2.0,10000
 1 Series,2019.0,Semi-Auto,7656.0,Petrol,150.0,34.5,2.0,29490
 5 Series,2017.0,Automatic,62352.0,Diesel,,65.7,2.0,18900
 3 Series,2019.0,Semi-Auto,5749.0,Petrol,145.0,47.9,2.0,23975
 2 Series,2019.0,Semi-Auto,6100.0,,145.0,62.8,2.0,21995
 2 Series,2016.0,Manual,,Diesel,30.0,64.2,2.0,11000
 3 Series,2017.0,Semi-Auto,31144.0,Diesel,145.0,62.8,2.0,19082
 3 Series,2017.0,Semi-Auto,24701.0,Diesel,30.0,62.8,2.0,19450
 X3,2014.0,Automatic,72430.0,Diesel,145.0,54.3,2.0,12795
 4 Series,2018.0,Semi-Auto,14972.0,Petrol,150.0,45.6,2.0,20995
 X5,,,89000.0,Diesel,,,3.0,20450
 X3,2019.0,Semi-Auto,105.0,Diesel,145.0,54.3,2.0,39500
 3 Series,2019.0,Manual,4503.0,Diesel,150.0,54.3,2.0,31490
