model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 X1,2017.0,Manual,51835.0,Diesel,145.0,58.9,2.0,16699
 1 Series,2017.0,Manual,9617.0,Petrol,150.0,53.3,1.5,13720
 4 Series,2016.0,Manual,43480.0,Diesel,30.0,62.8,2.0,13950
 i3,2016.0,Automatic,68000.0,Hybrid,0.0,470.8,0.0,15990
 M4,2020.0,Semi-Auto,105.0,Petrol,145.0,32.5,3.0,47950
 4 Series,2020.0,Semi-Auto,1816.0,Petrol,,,2.0,27003
 X1,2019.0,Semi-Auto,5218.0,Petrol,145.0,35.3,2.0,24980
 X3,2017.0,Automatic,,Diesel,145.0,54.3,2.0,20340
 5 Series,2019.0,Semi-Auto,9239.0,Hybrid,,62.8,2.0,27950
 X2,2019.0,Semi-Auto,10.0,Petrol,145.0,34.0,2.0,32000
 5 Series,2014.0,Automatic,40267.0,Diesel,200.0,48.7,3.0,17080
 3 Series,2019.0,Semi-Auto,6414.0,,145.0,62.8,2.0,22950
 2 Series,2016.0,Manual,81145.0,Diesel,30.0,62.8,,12540
 5 Series,2017.0,Semi-Auto,31585.0,Diesel,30.0,62.8,2.0,17659
 3 Series,2014.0,Semi-Auto,,,,58.9,2.0,13891
 2 Series,2016.0,Manual,17586.0,Petrol,125.0,52.3,1.5,12499
 1 Series,2014.0,Manual,35974.0,Diesel,0.0,74.3,1.6,8800
 5 Series,2000.0,Manual,99209.0,Petrol,265.0,29.4,2.0,1699
 1 Series,2019.0,Semi-Auto,10027.0,Petrol,145.0,47.9,2.0,19998
 1 Series,2017.0,Automatic,20574.0,Diesel,,70.6,2.0,13700
 2 Series,2020.0,Semi-Auto,12.0,Petrol,150.0,50.4,1.5,21890
 3 Series,2018.0,Semi-Auto,8426.0,Petrol,,48.7,2.0,21990
 2 Series,2019.0,Manual,1000.0,Petrol,,,,20980
 1 Series,2020.0,Semi-Auto,1501.0,Diesel,145.0,51.4,2.0,27000
 1 Series,2016.0,Manual,68985.0,Diesel,20.0,68.9,2.0,11498
 5 Series,2016.0,Automatic,71353.0,Diesel,145.0,56.5,2.0,13999
 5 Series,2019.0,Automatic,,Diesel,145.0,,2.0,30980
 5 Series,2007.0,Automatic,,Diesel,330.0,35.8,2.5,2499
 X3,2016.0,Semi-Auto,44588.0,Diesel,200.0,,3.0,21480
 4 Series,,Automatic,10.0,Diesel,145.0,60.1,2.0,39995
 3 Series,2019.0,Semi-Auto,1581.0,Petrol,145.0,,3.0,37940
 3 Series,2015.0,Semi-Auto,,Diesel,150.0,53.3,3.0,15991
 X1,2016.0,Manual,46907.0,,,58.9,2.0,15995
 2 Series,2014.0,Semi-Auto,35000.0,Diesel,,,2.0,11990
 5 Series,2015.0,Semi-Auto,,Diesel,20.0,,2.0,11895
 1 Series,2016.0,Manual,23879.0,Diesel,30.0,62.8,2.0,14998
 1 Series,2016.0,Automatic,,Petrol,200.0,43.5,2.0,12999
 5 Series,2014.0,Automatic,43208.0,Diesel,125.0,,2.0,12999
 1 Series,2013.0,Automatic,52799.0,,,64.2,,9765
 X5,2013.0,Automatic,51500.0,Diesel,200.0,45.6,,21212
 1 Series,2014.0,Semi-Auto,66449.0,Petrol,125.0,50.4,1.6,11552
 3 Series,2017.0,Automatic,83055.0,Petrol,125.0,51.4,1.5,11300
 2 Series,2017.0,Automatic,10131.0,Diesel,145.0,60.1,2.0,19559
 X1,2017.0,Semi-Auto,32217.0,,145.0,55.4,2.0,18998
 5 Series,2013.0,,88000.0,Diesel,125.0,57.6,2.0,10490
 X6,2017.0,Automatic,31931.0,Petrol,145.0,29.1,4.4,36000
 1 Series,2016.0,Manual,,Diesel,20.0,72.4,1.5,11499
 X3,2017.0,Semi-Auto,,Diesel,,54.3,,25999
 3 Series,2020.0,Manual,4.0,,145.0,54.3,2.0,25999
 X2,2019.0,Automatic,123.0,Petrol,145.0,38.7,,26972
 3 Series,2014.0,Manual,31826.0,Diesel,125.0,,2.0,12998
 1 Series,,,9461.0,,20.0,70.6,,14652
 3 Series,2017.0,Manual,34552.0,,30.0,65.7,2.0,14590
 2 Series,2019.0,Automatic,13186.0,Hybrid,,148.7,1.5,21250
 4 Series,2017.0,Automatic,24231.0,Diesel,145.0,55.4,3.0,20500
 M3,2009.0,Manual,65000.0,Petrol,,21.9,4.0,16950
 X3,2019.0,Semi-Auto,4550.0,Diesel,145.0,54.3,2.0,32822
 3 Series,2016.0,Semi-Auto,25145.0,Diesel,160.0,51.4,,20878
 3 Series,2019.0,Semi-Auto,10130.0,Diesel,,44.1,3.0,35490
 5 Series,2018.0,Automatic,,Diesel,145.0,68.9,2.0,23399
 1 Series,2015.0,Manual,40176.0,Petrol,145.0,,1.6,9681
 2 Series,2019.0,Semi-Auto,3000.0,Petrol,,42.2,1.5,21995
 4 Series,2019.0,Semi-Auto,9846.0,,145.0,65.7,2.0,22380
 3 Series,2017.0,Semi-Auto,18224.0,Diesel,145.0,53.3,3.0,23990
 1 Series,2016.0,Automatic,36670.0,Diesel,,68.9,1.5,13457
 X6,2020.0,Semi-Auto,,Diesel,145.0,34.9,3.0,57990
 4 Series,2019.0,Semi-Auto,5029.0,Petrol,145.0,48.7,2.0,25910
 X2,2019.0,Semi-Auto,3235.0,Petrol,145.0,34.0,2.0,33520
 4 Series,2019.0,Semi-Auto,101.0,Diesel,145.0,60.1,2.0,29898
 M2,2019.0,Semi-Auto,1797.0,Petrol,,29.1,3.0,42351
 1 Series,2014.0,Semi-Auto,57617.0,Diesel,125.0,,2.0,12111
 X4,2015.0,Manual,53755.0,Diesel,,52.3,2.0,19485
 3 Series,2006.0,Automatic,61808.0,,305.0,35.8,2.0,4000
 X5,2013.0,Automatic,64979.0,Diesel,200.0,45.6,3.0,21990
 X5,2016.0,Automatic,23747.0,Hybrid,,85.6,2.0,31200
 X5,2019.0,,123.0,Diesel,145.0,33.6,3.0,63320
 M4,2019.0,Semi-Auto,2258.0,Petrol,145.0,34.0,3.0,48000
